nombre	tipo	coords	direccion	puntaje	resenas	horarios_semana
Gran Vía	Restaurante	{'lat': -32.956728, 'lng': -60.6423151}	Av. Pellegrini 1202, S2000BTZ Rosario, Santa Fe, Argentina	4.0	2720	{'Lunes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '02:00'}]}
Don Giuseppe	Restaurante	{'lat': -32.9500401, 'lng': -60.66071669999999}	9 de Julio 2602, S2000PJJ Rosario, Santa Fe, Argentina	4.0	1190	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:00'}]}
El Cairo	Restaurante	{'lat': -32.9450198, 'lng': -60.63795760000001}	Sta Fe 1102, S2000ATP Rosario, Santa Fe, Argentina	4.2	16789	{'Lunes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '23:00'}], 'Domingo': [{'apertura': '16:00', 'cierre': '23:00'}]}
Orquídea Restaurante	Restaurante	{'lat': -32.9403432, 'lng': -60.6377455}	COC, Mitre 295, S2000 Rosario, Santa Fe, Argentina	4.5	171	{'Lunes': [{'apertura': '06:00', 'cierre': '15:00'}], 'Martes': [{'apertura': '06:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '06:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '06:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '06:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '06:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '06:00', 'cierre': '15:00'}]}
La Bella Napoli	Restaurante	{'lat': -32.9356008, 'lng': -60.6710264}	Tucumán 3598, S2002JWH Rosario, Santa Fe, Argentina	4.0	3973	{'Lunes': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Martes': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Miércoles': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Jueves': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Viernes': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '11:30', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:30'}]}
Casimiro	Restaurante	{'lat': -32.9445009, 'lng': -60.665059}	San Luis 3001, S2002ORQ Rosario, Santa Fe, Argentina	4.2	7199	{'Lunes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '02:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '02:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '07:00', 'cierre': '03:00'}], 'Domingo': [{'apertura': '07:00', 'cierre': '03:00'}]}
Jama y Jarana	Restaurante	{'lat': -32.9367731, 'lng': -60.6588696}	Catamarca 2705, S2000LNS Rosario, Santa Fe, Argentina	4.6	813	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '19:00', 'cierre': '23:00'}]}
Gran Lago - Resto Bar	Restaurante	{'lat': -32.955596, 'lng': -60.6585203}	Av. Int. Morcillo 2351, S2000 Rosario, Santa Fe, Argentina	4.1	5374	{'Lunes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '07:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '07:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Sábado': [{'apertura': '07:30', 'cierre': '00:30'}], 'Domingo': [{'apertura': '07:30', 'cierre': '00:30'}]}
Rock&Feller's Alto Rosario	Restaurante	{'lat': -32.9285872, 'lng': -60.6678775}	Junín 501, S2013DJK, S2013 Rosario, Santa Fe, Argentina	4.5	22268	{'Lunes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '02:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '01:00'}]}
La Social Oroño	Restaurante	{'lat': -32.9350913, 'lng': -60.6507881}	Blvd. Oroño 39, S2000 Rosario, Santa Fe, Argentina	4.1	222	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:30', 'cierre': '01:00'}]}
