nombre	tipo	coords	direccion	puntaje	resenas	horarios_semana
El Establo	Restaurante	{'lat': -32.955838, 'lng': -60.65030969999999}	Av. Pellegrini 1775, S2000 BUE, Santa Fe, Argentina	4.3	7147	{'Lunes': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '00:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '00:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '00:30'}], 'Viernes': [{'apertura': '11:30', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '01:30'}], 'Sábado': [{'apertura': '11:30', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '01:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '00:30'}]}
Resto Bar Viejo Munich	Restaurante	{'lat': -32.9618931, 'lng': -60.63661219999999}	Ituzaingó 709, S2000 Rosario, Santa Fe, Argentina	4.4	2949	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '19:00', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '19:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '19:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '19:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '19:00', 'cierre': '23:30'}]}
Churrasquito	Restaurante	{'lat': -32.940155, 'lng': -60.668725}	Cafferata 729, S2000 Rosario, Santa Fe, Argentina	4.3	3719	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '00:00'}]}
LORENZO	Restaurante	{'lat': -32.9422209, 'lng': -60.6473555}	Italia 590, S2000 DEL, Santa Fe, Argentina	4.2	1166	{'Lunes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '16:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Domingo': 'Cerrado'}
Restaurante Nico	Restaurante	{'lat': -32.9245304, 'lng': -60.6779153}	Av. Alberdi 318, S2000 Rosario, Santa Fe, Argentina	4.5	271	{'Lunes': [{'apertura': '08:30', 'cierre': '15:00'}], 'Martes': [{'apertura': '08:30', 'cierre': '15:00'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '15:00'}], 'Jueves': [{'apertura': '08:30', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:30', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:00'}]}
Restaurante Vrinda	Restaurante	{'lat': -32.9383286, 'lng': -60.64213830000001}	Salta 1506, S2000AIJ Rosario, Santa Fe, Argentina	4.3	1972	{'Lunes': [{'apertura': '10:30', 'cierre': '23:30'}], 'Martes': [{'apertura': '10:30', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '10:30', 'cierre': '23:30'}], 'Jueves': [{'apertura': '10:30', 'cierre': '23:30'}], 'Viernes': [{'apertura': '10:30', 'cierre': '23:30'}], 'Sábado': [{'apertura': '10:30', 'cierre': '23:30'}], 'Domingo': 'Cerrado'}
Casa de Nicolás	Restaurante	{'lat': -32.9520278, 'lng': -60.6369935}	BHS, Mendoza 937, S2000 Rosario, Santa Fe, Argentina	4.5	960	{'Lunes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '15:00'}, {'apertura': '18:30', 'cierre': '22:00'}], 'Domingo': 'Cerrado'}
Jimmy	Restaurante	{'lat': -32.9328753, 'lng': -60.66036809999999}	Pichincha 1, S2000 Rosario, Santa Fe, Argentina	4.3	3661	{'Lunes': [{'apertura': '07:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '03:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '03:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '01:00'}]}
Restaurante Bendita Costilla	Restaurante	{'lat': -32.967275, 'lng': -60.64648899999999}	Entre Ríos 2602, S2001SHB Rosario, Santa Fe, Argentina	0.0	0	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '23:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '20:00', 'cierre': '01:00'}]}
Mirador del Consejo Restaurant	Restaurante	{'lat': -32.9538445, 'lng': -60.63722360000001}	CGR, Maipú 1344, S2000 Rosario, Santa Fe, Argentina	4.3	569	{'Lunes': [{'apertura': '08:30', 'cierre': '16:30'}], 'Martes': [{'apertura': '08:30', 'cierre': '16:30'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '16:30'}], 'Jueves': [{'apertura': '08:30', 'cierre': '16:30'}], 'Viernes': [{'apertura': '08:30', 'cierre': '16:30'}], 'Sábado': [{'apertura': '08:30', 'cierre': '16:30'}], 'Domingo': 'Cerrado'}
El Luchador de Pichincha	Restaurante	{'lat': -32.934609, 'lng': -60.66399999999999}	Salta 3101, S2002 Rosario, Santa Fe, Argentina	4.2	2247	{'Lunes': [{'apertura': '10:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '10:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '10:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:30'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:30'}], 'Domingo': [{'apertura': '10:00', 'cierre': '01:30'}]}
Monsieur Bleu Resto-Bar	Restaurante	{'lat': -32.94353600000001, 'lng': -60.6804755}	Bv. Avellaneda 1152, S2002 Rosario, Santa Fe, Argentina	4.4	2331	{'Lunes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Martes': [{'apertura': '07:30', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '07:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '07:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '07:30', 'cierre': '02:00'}], 'Sábado': [{'apertura': '07:30', 'cierre': '02:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '20:00'}]}
Garufa bar y bodegón	Restaurante	{'lat': -32.9329271, 'lng': -60.66363010000001}	Av. Francia 60, S2000 Rosario, Santa Fe, Argentina	4.8	46	{'Lunes': [{'apertura': '08:30', 'cierre': '15:00'}], 'Martes': [{'apertura': '08:30', 'cierre': '15:00'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '15:00'}], 'Jueves': [{'apertura': '08:30', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '08:30', 'cierre': '15:00'}, {'apertura': '19:30', 'cierre': '00:00'}], 'Sábado': [{'apertura': '19:30', 'cierre': '00:00'}], 'Domingo': 'Cerrado'}
Mistura De Sabores: Cocina Peruana y Latina	Restaurante	{'lat': -32.9439836, 'lng': -60.6387745}	San Lorenzo 1179, S2000LNS Rosario, Santa Fe, Argentina	4.3	1186	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
El Club de la Milanesa + Alto Rosario	Restaurante	{'lat': -32.926852, 'lng': -60.6709416}	Junín 501, S2000 Rosario, Santa Fe, Argentina	4.7	2468	{'Lunes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '10:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '10:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '00:00'}]}
Davis.	Restaurante	{'lat': -32.9296905, 'lng': -60.6508049}	SOT, Av. de la Costa Estanislao López 2550, S2000 Rosario, Santa Fe, Argentina	4.1	8023	{'Lunes': [{'apertura': '12:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '01:00'}]}
La Favrika	Restaurante	{'lat': -32.9398936, 'lng': -60.64714199999999}	AMT, Tucumán 1816, S2000 Rosario, Santa Fe, Argentina	4.3	2214	{'Lunes': [{'apertura': '07:00', 'cierre': '16:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '16:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '16:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '16:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '02:00'}], 'Sábado': [{'apertura': '21:30', 'cierre': '02:00'}], 'Domingo': 'Cerrado'}
Viejo Balcón	Restaurante	{'lat': -32.934412, 'lng': -60.6453259}	Av. Wheelwright 1815, S2000ACE Rosario, Santa Fe, Argentina	4.4	6035	{'Lunes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '15:00'}, {'apertura': '20:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '20:00', 'cierre': '00:30'}], 'Domingo': [{'apertura': '12:00', 'cierre': '15:30'}, {'apertura': '20:00', 'cierre': '00:30'}]}
BOW Café, Bar & Bistró	Restaurante	{'lat': -32.9268469, 'lng': -60.6651092}	DJC, Junín 185, S2013 Rosario, Santa Fe, Argentina	4.2	1002	{'Lunes': [{'apertura': '08:00', 'cierre': '00:30'}], 'Martes': [{'apertura': '08:00', 'cierre': '00:30'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '00:30'}], 'Jueves': [{'apertura': '08:00', 'cierre': '00:30'}], 'Viernes': [{'apertura': '08:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '08:00', 'cierre': '00:30'}]}
Wilfredo	Restaurante	{'lat': -32.946516, 'lng': -60.66698899999999}	Av. Francia 1198, S2002QRQ Rosario, Santa Fe, Argentina	4.1	6505	{'Lunes': [{'apertura': '07:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '07:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '07:00', 'cierre': '01:00'}]}
Restaurante Club Social Zona Sud	Restaurante	{'lat': -32.9735527, 'lng': -60.6415367}	Maipú 3051, S2001RWC Rosario, Santa Fe, Argentina	4.5	1577	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:30', 'cierre': '01:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '16:00'}, {'apertura': '20:30', 'cierre': '03:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '16:00'}]}
Viva María	Restaurante	{'lat': -32.9522598, 'lng': -60.6397563}	CMV, Sarmiento 1256, S2000 Rosario, Santa Fe, Argentina	4.4	311	{'Lunes': [{'apertura': '11:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '23:00'}], 'Martes': [{'apertura': '11:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '23:00'}], 'Miércoles': [{'apertura': '11:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '23:00'}], 'Jueves': [{'apertura': '11:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '23:00'}], 'Viernes': [{'apertura': '11:00', 'cierre': '15:30'}, {'apertura': '19:30', 'cierre': '23:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '15:00'}], 'Domingo': 'Cerrado'}
Ninna Di Farina	Restaurante	{'lat': -32.9549141, 'lng': -60.65272439999999}	Av. Pellegrini 1954, S2000BUT Rosario, Santa Fe, Argentina	4.1	1607	{'Lunes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '20:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '20:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '20:00'}], 'Domingo': [{'apertura': '09:00', 'cierre': '20:00'}]}
Fondo Cocina	Restaurante	{'lat': -32.9586936, 'lng': -60.64769779999999}	Pasco 1547, S2000ECE Rosario, Santa Fe, Argentina	4.8	362	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '19:30', 'cierre': '01:00'}], 'Jueves': [{'apertura': '19:30', 'cierre': '01:00'}], 'Viernes': [{'apertura': '19:30', 'cierre': '01:00'}], 'Sábado': [{'apertura': '19:30', 'cierre': '01:00'}], 'Domingo': 'Cerrado'}
Mecenas. La casa de la familia Espiria	Restaurante	{'lat': -32.9534699, 'lng': -60.6546222}	Montevideo 2124, S2000 Rosario, Santa Fe, Argentina	4.0	3810	{'Lunes': [{'apertura': '09:00', 'cierre': '20:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '20:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '20:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '01:00'}], 'Domingo': 'Cerrado'}
LOCO SAMBE	Restaurante	{'lat': -32.9504906, 'lng': -60.6798629}	Av. Pellegrini 3957, S2002QEH Rosario, Santa Fe, Argentina	4.4	1597	{'Lunes': [{'apertura': '06:00', 'cierre': '01:00'}], 'Martes': [{'apertura': '06:00', 'cierre': '01:00'}], 'Miércoles': [{'apertura': '06:00', 'cierre': '01:00'}], 'Jueves': [{'apertura': '06:00', 'cierre': '01:00'}], 'Viernes': [{'apertura': '06:00', 'cierre': '01:00'}], 'Sábado': [{'apertura': '06:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '07:30', 'cierre': '12:00'}, {'apertura': '19:00', 'cierre': '01:00'}]}
El Club de la Milanesa Pichincha	Restaurante	{'lat': -32.9352415, 'lng': -60.6524594}	Jujuy 2298, S2000JHB Rosario, Santa Fe, Argentina	4.3	7583	{'Lunes': [{'apertura': '11:30', 'cierre': '23:30'}], 'Martes': [{'apertura': '11:30', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '11:30', 'cierre': '00:00'}], 'Jueves': [{'apertura': '11:30', 'cierre': '00:00'}], 'Viernes': [{'apertura': '11:30', 'cierre': '01:00'}], 'Sábado': [{'apertura': '11:30', 'cierre': '01:00'}], 'Domingo': [{'apertura': '11:30', 'cierre': '00:00'}]}
La Sede	Restaurante	{'lat': -32.94355670000001, 'lng': -60.6402589}	CRI, Entre Ríos 599, S2000 Rosario, Santa Fe, Argentina	4.0	1253	{'Lunes': [{'apertura': '08:00', 'cierre': '21:00'}], 'Martes': [{'apertura': '08:00', 'cierre': '21:00'}], 'Miércoles': [{'apertura': '08:00', 'cierre': '21:00'}], 'Jueves': [{'apertura': '08:00', 'cierre': '21:00'}], 'Viernes': [{'apertura': '08:00', 'cierre': '21:00'}], 'Sábado': [{'apertura': '09:00', 'cierre': '21:00'}], 'Domingo': 'Cerrado'}
Almacén-Bar La Pulpería de Rosario	Restaurante	{'lat': -32.9469279, 'lng': -60.6514519}	San Luis 2001, S2000BCG Rosario, Santa Fe, Argentina	3.9	509	{'Lunes': [{'apertura': '07:00', 'cierre': '19:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '19:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '19:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '19:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '19:00'}], 'Sábado': [{'apertura': '08:00', 'cierre': '12:00'}], 'Domingo': 'Cerrado'}
"Museo de la Ciudad de Rosario ""Wladimir Mikielievich""."	Museo	{'lat': -32.9621436, 'lng': -60.6571071}	Blvd. Oroño 2361, S2000GHG Rosario, Santa Fe, Argentina	4.5	917	{'Lunes': 'Cerrado', 'Martes': [{'apertura': '14:00', 'cierre': '18:00'}], 'Miércoles': [{'apertura': '14:00', 'cierre': '18:00'}], 'Jueves': [{'apertura': '14:00', 'cierre': '18:00'}], 'Viernes': [{'apertura': '14:00', 'cierre': '18:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '18:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '18:00'}]}
"Museo Histórico Provincial de Rosario ""Dr. Julio Marc"""	Museo	{'lat': -32.9566391, 'lng': -60.65985970000001}	Av. Dr. Eduardo María Gallo s/n, S2000 Rosario, Santa Fe, Argentina	4.6	1024	No disponible
Museo Internacional para la Democracia	Museo	{'lat': -32.9452467, 'lng': -60.63804829999999}	Sarmiento 702, S2000 Rosario, Santa Fe, Argentina	4.8	339	No disponible
Museo Provincial de Ciencias Naturales “Ángel Gallardo”	Museo	{'lat': -32.9422, 'lng': -60.649415}	San Lorenzo 1949, S2000 Rosario, Santa Fe, Argentina	3.9	319	No disponible
Museo de la Memoria | Rosario - Argentina	Museo	{'lat': -32.9443119, 'lng': -60.650723}	Córdoba 2019, S2000AXG Rosario, Santa Fe, Argentina	4.6	391	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '10:00', 'cierre': '18:00'}], 'Jueves': [{'apertura': '10:00', 'cierre': '18:00'}], 'Viernes': [{'apertura': '10:00', 'cierre': '18:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '18:00'}], 'Domingo': [{'apertura': '10:00', 'cierre': '18:00'}]}
MIAPCR MUSEUM Musée International d'Art Post-Contemporain en Résistance	Museo	{'lat': -32.9442371, 'lng': -60.68037169999999}	Museo Virtual de Arte sin sede Mendoza y Avellaneda, S2000 Rosario, Santa Fe, Argentina	5.0	30	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': 'Cerrado', 'Jueves': 'Cerrado', 'Viernes': 'Cerrado', 'Sábado': 'Cerrado', 'Domingo': [{'apertura': '00:00', 'cierre': '24h'}]}
Museo Municipal de Bellas Artes Juan B. Castagnino	Museo	{'lat': -32.953886, 'lng': -60.656629}	Av. Pellegrini 2202, S2000QDN Rosario, Santa Fe, Argentina	4.6	2331	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '14:00', 'cierre': '20:00'}], 'Jueves': [{'apertura': '14:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '14:00', 'cierre': '20:00'}], 'Sábado': [{'apertura': '11:00', 'cierre': '20:00'}], 'Domingo': [{'apertura': '11:00', 'cierre': '20:00'}]}
macro (Museo de arte contemporáneo de Rosario)	Museo	{'lat': -32.9301132, 'lng': -60.6506607}	Av. de la Costa Estanislao López 2250, S2000 Rosario, Santa Fe, Argentina	4.2	1376	{'Lunes': 'Cerrado', 'Martes': 'Cerrado', 'Miércoles': [{'apertura': '20:00', 'cierre': '22:00'}], 'Jueves': [{'apertura': '14:00', 'cierre': '20:00'}], 'Viernes': [{'apertura': '14:00', 'cierre': '20:00'}], 'Sábado': [{'apertura': '14:00', 'cierre': '20:00'}], 'Domingo': [{'apertura': '14:00', 'cierre': '20:00'}]}
Ex Mansión Astengo	Museo	{'lat': -32.9444909, 'lng': -60.64839749999999}	Córdoba 1860, S2000 Rosario, Santa Fe, Argentina	4.2	20	No disponible
Museo Diario La Capital	Museo	{'lat': -32.9459257, 'lng': -60.63791}	Sarmiento 763, S2000 Rosario, Santa Fe, Argentina	4.3	314	{'Lunes': [{'apertura': '09:00', 'cierre': '13:00'}], 'Martes': [{'apertura': '09:00', 'cierre': '17:00'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '17:00'}], 'Jueves': [{'apertura': '09:00', 'cierre': '17:00'}], 'Viernes': [{'apertura': '09:00', 'cierre': '17:00'}], 'Sábado': [{'apertura': '10:00', 'cierre': '14:00'}], 'Domingo': 'Cerrado'}
CelCHE	Museo	{'lat': -32.941305, 'lng': -60.6341414}	Av. Belgrano 950, S2000 Rosario, Santa Fe, Argentina	4.2	160	{'Lunes': [{'apertura': '08:30', 'cierre': '14:00'}], 'Martes': [{'apertura': '08:30', 'cierre': '14:00'}], 'Miércoles': [{'apertura': '08:30', 'cierre': '14:00'}], 'Jueves': [{'apertura': '08:30', 'cierre': '14:00'}], 'Viernes': [{'apertura': '08:30', 'cierre': '14:00'}], 'Sábado': [{'apertura': '15:00', 'cierre': '19:00'}], 'Domingo': 'Cerrado'}
Museo de Arte Sacro Barnes	Museo	{'lat': -32.9525897, 'lng': -60.63535479999999}	Laprida 1215, S2000 CFO, Santa Fe, Argentina	4.8	4	No disponible
Museo de la Salud	Museo	{'lat': -32.9486662, 'lng': -60.63439990000001}	Laprida 900, S2000 CFJ, Santa Fe, Argentina	3.7	30	{'Lunes': [{'apertura': '07:00', 'cierre': '16:00'}], 'Martes': [{'apertura': '07:00', 'cierre': '16:00'}], 'Miércoles': [{'apertura': '07:00', 'cierre': '16:00'}], 'Jueves': [{'apertura': '07:00', 'cierre': '16:00'}], 'Viernes': [{'apertura': '07:00', 'cierre': '16:00'}], 'Sábado': 'Cerrado', 'Domingo': 'Cerrado'}
Deposito Museo de la Ciudad	Museo	{'lat': -32.9609618, 'lng': -60.65329569999999}	S2000 Rosario, Santa Fe, Argentina	5.0	1	No disponible
Casa Fracassi	Museo	{'lat': -32.948222, 'lng': -60.642779}	San Luis 1384, S2000ARN S2000BBS, Santa Fe, Argentina	4.7	29	No disponible
Estación Central Córdoba	Museo	{'lat': -32.9690326, 'lng': -60.63669479999999}	S2000FAG, FAG, Blvd. 27 de Febrero 1925, S2000 Rosario, Santa Fe, Argentina	4.4	194	No disponible
Paseo del Foro de las Colectividades	Museo	{'lat': -32.960983, 'lng': -60.65748999999999}	Blvd. Oroño 2295-2269, S2000 Rosario, Santa Fe, Argentina	4.7	18	No disponible
Kapricho's	Heladería	{'lat': -32.9415569, 'lng': -60.695839}	Mendoza 5301, S2008 BPG, Santa Fe, Argentina	4.6	1196	{'Lunes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Martes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '00:00'}], 'Jueves': [{'apertura': '12:00', 'cierre': '00:00'}], 'Viernes': [{'apertura': '12:00', 'cierre': '00:00'}], 'Sábado': [{'apertura': '12:00', 'cierre': '00:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
Hugo Helado Artesanal	Heladería	{'lat': -32.9406585, 'lng': -60.63832660000001}	Mitre 322, S2000 Rosario, Santa Fe, Argentina	4.1	101	{'Lunes': [{'apertura': '12:00', 'cierre': '23:30'}], 'Martes': [{'apertura': '12:00', 'cierre': '23:30'}], 'Miércoles': [{'apertura': '12:00', 'cierre': '23:30'}], 'Jueves': [{'apertura': '12:00', 'cierre': '23:30'}], 'Viernes': [{'apertura': '12:00', 'cierre': '23:30'}], 'Sábado': [{'apertura': '12:00', 'cierre': '01:00'}], 'Domingo': [{'apertura': '12:00', 'cierre': '00:00'}]}
ETNA Helados Artesanales	Heladería	{'lat': -32.9270763, 'lng': -60.6909977}	Junín 1987, S2013 Rosario, Santa Fe, Argentina	4.6	63	{'Lunes': [{'apertura': '09:00', 'cierre': '23:59'}], 'Martes': [{'apertura': '09:00', 'cierre': '23:59'}], 'Miércoles': [{'apertura': '09:00', 'cierre': '23:59'}], 'Jueves': [{'apertura': '09:00', 'cierre': '23:59'}], 'Viernes': [{'apertura': '09:00', 'cierre': '23:59'}], 'Sábado': [{'apertura': '09:00', 'cierre': '23:59'}], 'Domingo': [{'apertura': '09:00', 'cierre': '23:59'}]}
