,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,5360,2922,2511,1145,745,1195,3133,2910,5481,1365,883,1021,2005,3068,1290,2101,5354,2697,1724
1,4575,0,4493,2478,3827,4221,5723,4401,5141,5670,3727,4355,4641,5681,4671,5818,2614,1730,4640,3022
2,3101,3637,0,4308,2410,3355,2994,737,1076,2559,3976,3493,1912,2952,5637,3089,3900,3632,5303,4334
3,2596,2687,4214,0,1857,2245,3802,4446,4176,5903,1749,2308,2719,3759,2908,3889,646,2682,2876,1046
4,1262,4061,2946,1900,0,909,2465,3177,2907,4647,1525,1042,1383,2422,3225,2552,1489,4056,2869,1883
5,356,5192,2756,2344,991,0,1550,2975,2756,5315,1198,716,855,1839,2901,1645,1934,5187,2531,1556
6,2193,7202,3565,4180,2816,2415,0,4302,3177,6124,3035,2553,1665,2371,2626,1149,3771,7197,2508,3393
7,3342,2900,1035,4407,2652,3563,4032,0,1865,2328,4178,3701,2950,3990,5877,4127,4000,2895,5846,4394
8,2934,4623,1701,4148,2244,3155,2826,2585,0,4260,3776,3293,1744,1933,5477,2921,3738,4618,5446,4134
9,4411,3970,2530,5575,3722,4633,5512,1971,3710,0,5253,4771,4430,5469,6947,5607,5168,3964,6916,5562
10,1384,3994,4302,1145,1938,1557,2578,4533,4263,5984,0,1096,2405,3388,1703,2674,736,3989,1672,358
11,814,4476,3768,1628,1368,977,2009,3999,3729,5459,482,0,1836,2819,2185,2104,1218,4471,2154,841
12,1189,5532,1895,2401,1025,1410,1377,2632,2288,4454,2030,1548,0,1335,3733,1439,1989,5527,3366,2389
13,1867,6644,3006,3854,2258,2088,1751,3744,2562,5565,2709,2226,1106,0,4411,1340,3444,6638,4037,3067
14,1791,6072,4701,3131,2337,1954,1932,4934,4591,7260,1985,1503,2801,3784,0,2559,2721,6067,1285,2344
15,2092,7114,3477,4079,2728,2313,938,4214,3082,6036,2934,2451,1577,2091,2816,0,3669,7109,2697,3292
16,2470,2961,3566,935,1733,2116,3679,3797,3527,5270,1624,2182,2597,3637,2789,3774,0,2955,2758,920
17,4580,5,4499,2483,3832,4226,5728,4406,5147,5675,3732,4360,4646,5686,4676,5824,2620,0,4645,3027
18,2410,5094,5315,2425,2964,2572,2552,5547,5277,7021,1548,2123,3422,4406,620,3176,2286,5089,0,1909
19,2063,3338,3943,788,1588,1706,3059,4175,3904,5648,1212,1776,2033,3016,2379,3154,377,3333,2348,0
