,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,485,530,460,238,149,597,580,175,873,240,152,215,379,608,246,898,583,307,388
1,552,0,957,753,450,595,212,137,522,388,686,598,310,469,1056,495,586,1035,753,793
2,449,879,0,207,573,491,937,919,478,1149,289,398,664,828,365,569,539,342,249,233
3,507,699,332,0,396,464,757,764,674,1035,365,456,593,751,572,765,478,548,228,158
4,271,492,603,393,0,206,550,557,426,834,312,224,321,479,686,517,723,646,379,433
5,81,457,511,441,220,0,578,564,246,846,221,133,187,351,588,316,878,570,288,369
6,524,292,911,707,405,572,0,447,493,680,663,575,282,287,1010,466,834,987,730,748
7,600,187,894,704,482,648,355,0,680,382,716,652,483,642,1059,668,478,1036,681,738
8,244,396,604,594,343,282,469,533,0,785,374,286,126,290,682,92,982,636,441,522
9,770,416,1057,867,652,818,584,356,903,0,910,822,681,840,1240,866,659,1216,844,901
10,266,722,290,220,390,308,780,787,422,1049,0,214,480,644,367,512,657,344,67,148
11,154,615,378,308,279,191,673,680,326,954,88,0,369,533,456,400,745,432,155,236
12,242,269,672,493,201,297,449,406,218,658,382,294,0,258,749,293,855,722,449,530
13,350,482,770,699,429,388,476,619,301,871,480,391,212,0,847,215,1068,812,546,627
14,391,834,499,636,507,416,907,927,437,1222,416,328,563,727,0,518,1038,335,483,564
15,399,571,668,749,518,437,585,708,175,960,529,441,301,341,633,0,1157,597,596,677
16,807,870,568,423,689,750,982,774,920,1003,646,774,797,956,808,982,0,785,514,461
17,514,969,250,457,638,558,1027,1034,571,1314,344,463,715,879,178,662,789,0,397,482
18,419,655,337,179,328,360,713,720,573,1013,257,367,482,638,519,672,620,495,0,204
19,495,698,343,105,384,437,756,763,650,1028,353,444,581,739,612,741,559,588,201,0
